2025-05-24 21:21:54 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.88.183', 61132) - 数据: 欧拉角老客户接口规范
2025-05-24 21:21:57 - tcp - 发送方: ('10.21.88.183', 61132) - 接收方: ('10.21.88.183', 8000) - 数据: 够意思是你的话小河边等哈等哈
2025-05-24 21:21:59 - tcp - 发送方: ('10.21.88.183', 61132) - 接收方: ('10.21.88.183', 8000) - 数据: 够意思是你的话小河边等哈等哈
2025-05-24 21:23:42 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 61244) - 数据: 我是tcp手机服务端
2025-05-24 21:23:51 - tcp - 发送方: ('10.21.88.183', 61244) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑tcp客户端
2025-05-24 21:25:27 - udp - 发送方: ('10.21.163.147', 46797) - 接收方: ('10.21.88.183', 8000) - 数据: 呼呼呼
2025-05-24 21:25:34 - udp - 发送方: ('10.21.163.147', 46797) - 接收方: ('10.21.88.183', 8000) - 数据: 呼呼呼我是手机udp客户端
2025-05-24 21:25:54 - udp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 46797) - 数据: 我是udp电脑服务端
2025-05-24 21:27:04 - udp - 发送方: ('0.0.0.0', 64777) - 接收方: ('10.21.163.147', 8000) - 数据: 我是udp电脑客户端
2025-05-24 21:27:15 - udp - 发送方: ('10.21.163.147', 8000) - 接收方: ('0.0.0.0', 64777) - 数据: 我是udp手机服务端
2025-05-24 21:28:50 - udp - 发送方: ('0.0.0.0', 56797) - 接收方: ('10.21.163.147', 8000) - 数据: ？
2025-05-24 21:30:16 - udp - 发送方: ('10.21.163.147', 41474) - 接收方: ('10.21.88.183', 8000) - 数据: 我是udp手机客户端
2025-05-24 21:31:17 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 42510) - 数据: 我是tcp电脑服务端
2025-05-24 21:31:25 - tcp - 发送方: ('10.21.163.147', 42510) - 接收方: ('10.21.88.183', 8000) - 数据: 我是tcp电脑客户端
2025-05-24 21:32:02 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 61374) - 数据: hi：i胡
2025-05-24 21:32:06 - tcp - 发送方: ('10.21.88.183', 61374) - 接收方: ('10.21.163.147', 8000) - 数据: 挂号费的规划
2025-05-24 21:32:08 - tcp - 发送方: ('10.21.88.183', 61374) - 接收方: ('10.21.163.147', 8000) - 数据: 感到附属国豆腐干
2025-05-24 21:32:27 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 61374) - 数据: 顾过过瘾
